Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points
0,2091.686538,2950.4963679199996,20,50,0.85,0.12,"1,2,3"
1,2063.260899,2800.3637093000007," "" "," "" "," "" "," "" "," "" "
2,2030.8858089999999,2722.22132722," "" "," "" "," "" "," "" "," "" "
3,1953.7881089999998,2643.4257942199993," "" "," "" "," "" "," "" "," "" "
4,1874.7119609999997,2573.4090214199996," "" "," "" "," "" "," "" "," "" "
5,1834.3905609999997,2529.9444014600003," "" "," "" "," "" "," "" "," "" "
6,1811.931321,2498.75631996," "" "," "" "," "" "," "" "," "" "
7,1792.14555,2434.3659362," "" "," "" "," "" "," "" "," "" "
8,1791.243378,2401.4395951999995," "" "," "" "," "" "," "" "," "" "
9,1724.2269860000001,2363.73818504," "" "," "" "," "" "," "" "," "" "
10,1724.2269860000001,2347.2703893," "" "," "" "," "" "," "" "," "" "
11,1724.2269860000001,2304.56696808," "" "," "" "," "" "," "" "," "" "
12,1713.992546,2274.78768468," "" "," "" "," "" "," "" "," "" "
13,1702.6438519999997,2255.39230154," "" "," "" "," "" "," "" "," "" "
14,1695.3998639999998,2233.3514767600004," "" "," "" "," "" "," "" "," "" "
15,1678.0366499999996,2185.7782398400004," "" "," "" "," "" "," "" "," "" "
16,1678.0366499999996,2159.5936675999997," "" "," "" "," "" "," "" "," "" "
17,1678.0366499999996,2115.27562712," "" "," "" "," "" "," "" "," "" "
18,1653.5869379999997,2086.1322876," "" "," "" "," "" "," "" "," "" "
19,1649.412218,2055.05801908," "" "," "" "," "" "," "" "," "" "
