Iteration,Average best solutions,Average of average solutions,P: Iteration,P: Population,P: Probability of crossing,P: Probability of mutation,P: No. crossing points,Out: Average time
0,1993.9917380000002,2914.7713997499995,30,80,0.4,0.15,"1,2,3",0.2121835470199585
1,1816.2017359999998,2629.1741559999996," "" "," "" "," "" "," "" "," "" "," "" "
2,1782.553346,2521.6181683875006," "" "," "" "," "" "," "" "," "" "," "" "
3,1773.752466,2475.0920703375004," "" "," "" "," "" "," "" "," "" "," "" "
4,1763.5259760000001,2460.4143868875," "" "," "" "," "" "," "" "," "" "," "" "
5,1722.240246,2471.1374656875005," "" "," "" "," "" "," "" "," "" "," "" "
6,1721.890011,2499.5722868125," "" "," "" "," "" "," "" "," "" "," "" "
7,1711.6001789999998,2611.3664841124996," "" "," "" "," "" "," "" "," "" "," "" "
8,1711.6001789999998,2637.1059457499996," "" "," "" "," "" "," "" "," "" "," "" "
9,1711.6001789999998,2588.429334449999," "" "," "" "," "" "," "" "," "" "," "" "
10,1711.6001789999998,2609.2730197499995," "" "," "" "," "" "," "" "," "" "," "" "
11,1685.953367,2603.4511336375003," "" "," "" "," "" "," "" "," "" "," "" "
12,1685.953367,2611.2592518875003," "" "," "" "," "" "," "" "," "" "," "" "
13,1682.720967,2637.2017996999994," "" "," "" "," "" "," "" "," "" "," "" "
14,1675.7304510000001,2622.0512669125," "" "," "" "," "" "," "" "," "" "," "" "
15,1673.8989960000004,2620.323577474999," "" "," "" "," "" "," "" "," "" "," "" "
16,1673.8989960000004,2594.5523730999994," "" "," "" "," "" "," "" "," "" "," "" "
17,1673.8989960000004,2572.98844," "" "," "" "," "" "," "" "," "" "," "" "
18,1673.8989960000004,2512.8413190375004," "" "," "" "," "" "," "" "," "" "," "" "
19,1673.8989960000004,2483.74369935," "" "," "" "," "" "," "" "," "" "," "" "
20,1662.280064,2462.8424439749997," "" "," "" "," "" "," "" "," "" "," "" "
21,1662.280064,2457.6703518874997," "" "," "" "," "" "," "" "," "" "," "" "
22,1662.280064,2400.4147114375," "" "," "" "," "" "," "" "," "" "," "" "
23,1662.280064,2385.5818230000004," "" "," "" "," "" "," "" "," "" "," "" "
24,1659.579526,2405.855303037499," "" "," "" "," "" "," "" "," "" "," "" "
25,1659.579526,2350.8624433124996," "" "," "" "," "" "," "" "," "" "," "" "
26,1650.3354459999998,2363.7070491," "" "," "" "," "" "," "" "," "" "," "" "
27,1645.348222,2364.5919252125," "" "," "" "," "" "," "" "," "" "," "" "
28,1645.348222,2366.1636155500005," "" "," "" "," "" "," "" "," "" "," "" "
29,1645.348222,2309.2008716500004," "" "," "" "," "" "," "" "," "" "," "" "
